Frequency_Hz,Amplitude,Window,file_name
7.0,0.027185452321988882,11,handflapping-20240913-16h32.csv
8.0,0.004872251384885487,11,handflapping-20240913-16h32.csv
9.0,0.026591381181210995,11,handflapping-20240913-16h32.csv
10.0,0.020238282076249742,11,handflapping-20240913-16h32.csv
11.0,0.01460646317887042,11,handflapping-20240913-16h32.csv
12.0,0.018582195338486592,11,handflapping-20240913-16h32.csv
13.0,0.004668453117063209,11,handflapping-20240913-16h32.csv
14.0,0.00872336112395261,11,handflapping-20240913-16h32.csv
15.0,0.006752829609165125,11,handflapping-20240913-16h32.csv
16.0,0.00391337867063413,11,handflapping-20240913-16h32.csv
17.0,0.015676374721723597,11,handflapping-20240913-16h32.csv
18.0,0.0049666637455500475,11,handflapping-20240913-16h32.csv
19.0,0.006914496993726166,11,handflapping-20240913-16h32.csv
20.0,0.013019631018195485,11,handflapping-20240913-16h32.csv
21.0,0.0012804200500162843,11,handflapping-20240913-16h32.csv
22.0,0.009474384239074466,11,handflapping-20240913-16h32.csv
23.0,0.010611817314853559,11,handflapping-20240913-16h32.csv
24.0,0.008689178077531678,11,handflapping-20240913-16h32.csv
0.0,51.021105079422085,12,handflapping-20240913-16h32.csv
1.0,0.07060424672427663,12,handflapping-20240913-16h32.csv
2.0,0.030321155324258487,12,handflapping-20240913-16h32.csv
3.0,0.04197827861403582,12,handflapping-20240913-16h32.csv
4.0,0.0031813563893608294,12,handflapping-20240913-16h32.csv
5.0,0.005296450117037702,12,handflapping-20240913-16h32.csv
6.0,0.008034555505038458,12,handflapping-20240913-16h32.csv
7.0,0.009561126479620412,12,handflapping-20240913-16h32.csv
8.0,0.011373518957047515,12,handflapping-20240913-16h32.csv
9.0,0.0164251220084926,12,handflapping-20240913-16h32.csv
10.0,0.008923064610114462,12,handflapping-20240913-16h32.csv
11.0,0.005969721801240207,12,handflapping-20240913-16h32.csv
12.0,0.0058670456579146225,12,handflapping-20240913-16h32.csv
13.0,0.008880847416323633,12,handflapping-20240913-16h32.csv
14.0,0.003863969017866971,12,handflapping-20240913-16h32.csv
15.0,0.007096869023130846,12,handflapping-20240913-16h32.csv
16.0,0.007649170066299835,12,handflapping-20240913-16h32.csv
17.0,0.005499460993033588,12,handflapping-20240913-16h32.csv
18.0,0.007167973969812497,12,handflapping-20240913-16h32.csv
19.0,0.007003192271188054,12,handflapping-20240913-16h32.csv
20.0,0.007738167726229486,12,handflapping-20240913-16h32.csv
21.0,0.006665334044778213,12,handflapping-20240913-16h32.csv
22.0,0.0074140678052186685,12,handflapping-20240913-16h32.csv
23.0,0.005217927114345175,12,handflapping-20240913-16h32.csv
24.0,0.0039293593412259836,12,handflapping-20240913-16h32.csv
0.0,51.00468966020857,13,handflapping-20240913-16h32.csv
1.0,0.07995665780698277,13,handflapping-20240913-16h32.csv
2.0,0.10174871468643841,13,handflapping-20240913-16h32.csv
3.0,0.04136383061433669,13,handflapping-20240913-16h32.csv
4.0,0.007430221829575473,13,handflapping-20240913-16h32.csv
5.0,0.029719759098531848,13,handflapping-20240913-16h32.csv
6.0,0.005315462964906843,13,handflapping-20240913-16h32.csv
7.0,0.003612801075850097,13,handflapping-20240913-16h32.csv
8.0,0.018297417209271243,13,handflapping-20240913-16h32.csv
9.0,0.015288132322688905,13,handflapping-20240913-16h32.csv
10.0,0.01554888386289725,13,handflapping-20240913-16h32.csv
11.0,0.020713097331679343,13,handflapping-20240913-16h32.csv
